bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
2.290537999999999949e-02,3.070953999999999871e-04,7.398495999999999849e-04,3.452665999999999987e-05,5.478968000000000293e-04,1.570000000000000000e+02,1.978364537799999994e+02,-1.464447485300000018e+00,1.978364537999999868e+02,-1.464447499999999902e+00,4.155000000000000249e+00,2.000000000000000000e+00
1.188307999999999899e-03,1.079629000000000027e-04,7.357079999999999566e-04,3.452665999999999987e-05,1.037140999999999969e-04,1.900000000000000000e+01,1.978270321999999908e+02,-1.452960705800000030e+00,1.978270321999999908e+02,-1.452960699999999994e+00,1.310000000000000053e+00,1.217000000000000082e+00
4.818210999999999870e-04,7.634133000000000249e-05,7.458573000000000459e-04,3.452665999999999987e-05,7.765436999999999763e-05,8.000000000000000000e+00,1.978413050199999930e+02,-1.474679611500000043e+00,1.978413050000000055e+02,-1.474679599999999979e+00,1.135000000000000009e+00,7.399999999999999911e-01
1.874949000000000103e-03,1.342155000000000095e-04,7.360358999999999912e-04,3.452665999999999987e-05,1.270160000000000050e-04,2.900000000000000000e+01,1.978315260200000125e+02,-1.458926865700000075e+00,1.978315259999999967e+02,-1.458926900000000026e+00,2.343999999999999861e+00,1.366000000000000103e+00
1.540287999999999900e-03,1.003322000000000014e-04,7.349368000000000003e-04,3.452665999999999987e-05,1.903974000000000009e-04,1.700000000000000000e+01,1.978260695900000030e+02,-1.451175710100000016e+00,1.978260696000000110e+02,-1.451175700000000068e+00,1.191000000000000059e+00,1.024999999999999911e+00
2.664403999999999991e-03,1.342155000000000095e-04,7.406154000000000513e-04,3.452665999999999987e-05,2.177075999999999957e-04,3.100000000000000000e+01,1.978366279699999950e+02,-1.466290641300000086e+00,1.978366279999999904e+02,-1.466290600000000000e+00,1.838999999999999968e+00,1.409999999999999920e+00
2.755551000000000072e-04,5.146930999999999934e-05,7.348587000000000391e-04,3.452665999999999987e-05,9.288917999999999687e-05,4.000000000000000000e+00,1.978263185700000122e+02,-1.450894450799999902e+00,1.978263186000000076e+02,-1.450894499999999976e+00,9.619999999999999662e-01,3.459999999999999742e-01
5.100188000000000291e-03,1.737804000000000074e-04,7.444824000000000060e-04,3.452665999999999987e-05,2.647222000000000182e-04,5.000000000000000000e+01,1.978401253799999893e+02,-1.470673096400000102e+00,1.978401254000000051e+02,-1.470673099999999955e+00,2.134999999999999787e+00,1.582999999999999963e+00
2.754758999999999962e-04,5.638180999999999678e-05,7.374293000000000514e-04,3.452665999999999987e-05,7.190934000000000226e-05,3.000000000000000000e+00,1.978331896500000084e+02,-1.461036722500000051e+00,1.978331896999999913e+02,-1.461036699999999966e+00,7.590000000000000080e-01,5.689999999999999503e-01
2.884458999999999808e-03,1.675718999999999939e-04,7.368315999999999538e-04,3.452665999999999987e-05,9.115867000000000317e-05,4.400000000000000000e+01,1.978336251000000061e+02,-1.459772395199999906e+00,1.978336251000000061e+02,-1.459772400000000081e+00,3.188000000000000167e+00,1.433999999999999941e+00
