bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
4.321374000000000005e-04,5.084036999999999991e-05,1.075664000000000047e-03,1.849590000000000023e-05,3.784545999999999933e-05,1.000000000000000000e+01,1.978307332599999881e+02,-1.403850049499999919e+00,1.978307332999999915e+02,-1.403850000000000042e+00,1.421000000000000041e+00,7.269999999999999796e-01
1.352272000000000120e-04,2.757206000000000042e-05,1.075893000000000075e-03,1.849590000000000023e-05,4.434655000000000319e-05,4.000000000000000000e+00,1.978678230499999984e+02,-1.459201012899999927e+00,1.978678229999999871e+02,-1.459200999999999970e+00,7.550000000000000044e-01,4.400000000000000022e-01
2.821488999999999941e-03,1.089008999999999995e-04,1.075908999999999893e-03,1.849590000000000023e-05,1.098008000000000008e-04,6.100000000000000000e+01,1.978283681100000138e+02,-1.397760618900000029e+00,1.978283681000000058e+02,-1.397760600000000020e+00,2.447000000000000064e+00,2.182999999999999829e+00
5.056055999999999962e-04,4.613689000000000136e-05,1.075725999999999939e-03,1.849590000000000023e-05,6.370432999999999456e-05,1.200000000000000000e+01,1.978260052299999927e+02,-1.395176693300000048e+00,1.978260051999999973e+02,-1.395176699999999936e+00,1.288000000000000034e+00,8.040000000000000480e-01
6.434032000000000336e-04,5.374783999999999665e-05,1.075505999999999945e-03,1.849590000000000023e-05,7.255794000000000143e-05,1.700000000000000000e+01,1.978366595699999948e+02,-1.410517079199999912e+00,1.978366595999999902e+02,-1.410517100000000079e+00,1.298999999999999932e+00,1.076000000000000068e+00
2.241811000000000075e-04,3.262370999999999804e-05,1.075886999999999981e-03,1.849590000000000023e-05,5.237677000000000099e-05,6.000000000000000000e+00,1.978736548100000050e+02,-1.466009873900000038e+00,1.978736547999999971e+02,-1.466009899999999977e+00,8.589999999999999858e-01,6.049999999999999822e-01
2.741697000000000188e-04,3.699181000000000116e-05,1.075442000000000021e-03,1.849590000000000023e-05,4.987534999999999674e-05,7.000000000000000000e+00,1.978586141399999860e+02,-1.443360667999999958e+00,1.978586141000000111e+02,-1.443360699999999941e+00,1.054999999999999938e+00,7.259999999999999787e-01
5.880310999999999611e-04,5.374783999999999665e-05,1.075907000000000079e-03,1.849590000000000023e-05,5.301146000000000287e-05,1.700000000000000000e+01,1.978734774099999925e+02,-1.465264666599999988e+00,1.978734774000000129e+02,-1.465264700000000087e+00,1.292999999999999927e+00,1.046000000000000041e+00
7.344065999999999789e-03,1.969038999999999902e-04,1.075451999999999962e-03,1.849590000000000023e-05,8.976540999999999340e-05,1.750000000000000000e+02,1.978462862499999915e+02,-1.420955725800000069e+00,1.978462862000000086e+02,-1.420955699999999933e+00,4.891000000000000014e+00,4.373999999999999666e+00
2.431262000000000006e-02,1.649722000000000059e-04,1.075722000000000093e-03,1.849590000000000023e-05,2.054497000000000181e-03,1.580000000000000000e+02,1.978321208099999922e+02,-1.399313263500000071e+00,1.978321208000000127e+02,-1.399313299999999982e+00,2.545999999999999819e+00,2.178999999999999826e+00
3.339603999999999815e-04,4.271446000000000303e-05,1.075877999999999947e-03,1.849590000000000023e-05,3.993533999999999973e-05,9.000000000000000000e+00,1.978352337800000100e+02,-1.405177739600000031e+00,1.978352337999999975e+02,-1.405177700000000085e+00,1.078999999999999959e+00,8.920000000000000151e-01
2.499961000000000197e-03,9.864481000000000193e-05,1.075741999999999974e-03,1.849590000000000023e-05,1.131900000000000056e-04,5.100000000000000000e+01,1.978570662900000059e+02,-1.435570156800000108e+00,1.978570663000000138e+02,-1.435570199999999907e+00,2.391999999999999904e+00,1.669000000000000039e+00
1.420864999999999888e-04,2.757206000000000042e-05,1.075545000000000017e-03,1.849590000000000023e-05,3.898911999999999712e-05,4.000000000000000000e+00,1.978450313799999947e+02,-1.418355833799999965e+00,1.978450314000000105e+02,-1.418355800000000055e+00,9.949999999999999956e-01,3.469999999999999751e-01
6.604774000000000539e-04,6.040735999999999757e-05,1.075776999999999983e-03,1.849590000000000023e-05,5.368468999999999710e-05,1.900000000000000000e+01,1.978290096000000062e+02,-1.393255493500000108e+00,1.978290096000000062e+02,-1.393255499999999980e+00,1.532999999999999918e+00,1.185000000000000053e+00
4.751614999999999832e-03,1.515210000000000016e-04,1.075769999999999981e-03,1.849590000000000023e-05,7.200311000000000254e-05,1.060000000000000000e+02,1.978848450300000081e+02,-1.474268027099999934e+00,1.978848450000000128e+02,-1.474267999999999912e+00,4.027000000000000135e+00,2.628000000000000114e+00
